,Name_Firs_Last,Birth_Date,Date,Prefer_Game,Visits,Avg_Bet,Player_Type,Total_Bet,Balance,Bonus,Bonus_From_Points,Match_Pay,Tombola_Game,Total_Bonuses,Clean_Balance,Bonus_Percent_of_Bet,Bonus_Percent_of_Lose,Play_Percent,New_Customers,Hold_On_Sept,Hold_On_Okt,Holded,Total_Bet_range
1,Rock Star Quest,30-08-96,01-08-18,SLOTS,1,0.551005291,Слаб,104.6910053,-30.17899471,0,0,0,0,-30.17899471,0,0,1.288267312,Yes,NA,NA,NA,0,100-500
2,Outback House Party,14-03-91,01-08-18,SLOTS,1,0.308695652,Новак,14.50869565,10.00869565,0,0,0,0,10.00869565,0,0,0.310158825,NA,NA,NA,NA,0,0-100
3,Job Brother,27-03-59,01-08-18,SLOTS,1,0.928658289,Среден,2425.957317,85.61731658,0,0,0,0,85.61731658,0,0,0.964707822,Yes,NA,NA,NA,0,1000-5000
4,Fish Tank Boys,25-07-83,01-08-18,SLOTS,1,1.115317545,Среден,328.2212702,20.02127018,0,55,0,55,-34.97872982,0.167569883,2.747078457,1.106570576,Yes,NA,NA,NA,0,100-500
5,Jersey Eats,24-08-93,01-08-18,ROULETTE,1,0.757142857,Новак,11.35714286,-4.042857143,0,0,0,0,-4.042857143,0,0,1.355974843,Yes,NA,NA,NA,0,0-100
6,Comic Dancing,10-04-84,01-08-18,SLOTS,1,0.33736211,Новак,354.4241727,34.52417266,0,0,0,0,34.52417266,0,0,0.902590807,NA,NA,NA,NA,0,100-500
7,Wedding Wars,10-10-10,01-08-18,SLOTS,1,1.140073654,Среден,1993.580516,396.0805156,0,0,0,0,396.0805156,0,0,0.801322037,NA,NA,NA,NA,0,1000-5000
8,Voice Days,17-05-52,01-08-18,SLOTS,1,1.029274673,Среден,866.6492747,160.2892747,0,0,0,0,160.2892747,0,0,0.815047125,Yes,NA,NA,NA,0,500-1000
9,Hollywood Whisperer,12-10-90,01-08-18,SLOTS,1,0.289137738,Новак,516.4,49.85,0,0,0,0,49.85,0,0,0.903466305,Yes,NA,NA,NA,0,500-1000
10,Mountain Challenge,18-10-86,01-08-18,ROULETTE,2,8.873773057,Слаб,3014.673481,292.8052994,0,0,0,0,292.8052994,0,0,0.902873296,Yes,NA,NA,NA,0,1000-5000
11,Throttle Patrol,04-03-96,01-08-18,SLOTS,2,0.512049171,Слаб,160.9204917,24.28049171,0,0,0,0,24.28049171,0,0,0.849114979,Yes,NA,NA,NA,0,100-500
12,Chef Makeover,16-10-87,01-08-18,ROULETTE,7,4.472365379,Новак,2113.705495,-392.0945047,0,0,0,0,-392.0945047,0,0,1.18550101,Yes,NA,NA,NA,0,1000-5000
13,Air Brawlers,21-04-62,01-08-18,SLOTS,1,0.382089698,Новак,2544.304179,20.3641794,0,0,0,0,20.3641794,0,0,0.991996169,Yes,NA,NA,NA,0,1000-5000
14,Casino Sweets,18-06-00,01-08-18,ROULETTE,1,0.533333333,Новак,11.73333333,-0.966666667,0,0,0,0,-0.966666667,0,0,1.082386364,NA,NA,NA,NA,0,0-100
15,Room Hour,14-10-96,01-08-18,SLOTS,1,0.505194805,Слаб,38.9,29.85,0,0,0,0,29.85,0,0,0.232647815,Yes,NA,NA,NA,0,0-100
16,Army Consignment,10-10-10,01-08-18,SLOTS,1,NA,NA,1,10,0,0,0,0,10,0,0,-9,Yes,NA,NA,NA,0,0-100
17,The Great American Hunters,19-03-90,01-08-18,SLOTS,1,0.79557,Слаб,609.00114,100.75114,0,0,0,0,100.75114,0,0,0.834563298,NA,NA,NA,NA,0,500-1000
18,Action Wives,10-10-10,01-08-18,SLOTS,1,0.801574803,Среден,204.4015748,100.2015748,0,0,0,0,100.2015748,0,0,0.509780808,NA,NA,NA,NA,0,100-500
19,Road Videos,27-06-55,01-08-18,SLOTS,3,2.410894313,Хубав,18906.8,2304.3,360,300,0,336,1968.3,0.017771384,0.145814347,0.895894599,Yes,NA,NA,NA,0,5000-20000
20,Farm Sweets,11-06-94,01-08-18,SLOTS,2,0.567131085,Слаб,111.7146047,44.67460469,0,0,0,0,44.67460469,0,0,0.600100588,Yes,NA,NA,NA,0,100-500
21,Pawn Fighter,12-02-99,01-08-18,ROULETTE,2,12.07449495,Слаб,506.4489899,13.24444444,0,0,0,0,13.24444444,0,0,0.973848414,Yes,NA,NA,NA,0,500-1000
22,Shipping Loser,24-11-98,01-08-18,ROULETTE,1,1.172727273,Новак,14.07272727,5.672727273,0,0,0,0,5.672727273,0,0,0.596899225,NA,NA,NA,NA,0,0-100
23,Throttle Rules,02-12-99,01-08-18,ROULETTE,2,3.910814815,Новак,206.4296296,8.62962963,0,0,0,0,8.62962963,0,0,0.95819578,NA,NA,NA,NA,0,100-500
24,Empire Story,22-01-98,01-08-18,ROULETTE,1,2.375,Новак,60.59087302,17.39087302,0,0,0,0,17.39087302,0,0,0.712978669,Yes,NA,NA,NA,0,0-100
25,Date Rivals,30-06-91,01-08-18,ROULETTE,3,16.81666667,Слаб,843.66,144.06,0,0,0,0,144.06,0,0,0.829244008,NA,NA,NA,NA,0,500-1000
26,Ax Treasure,20-04-99,01-08-18,SLOTS,1,NA,NA,1,-60,0,0,0,0,-60,0,0,61,NA,NA,NA,NA,0,0-100
27,Teen Rooms,05-05-47,01-08-18,ROULETTE,5,1.472108392,Новак,483.4742308,-54.12576923,0,0,0,0,-54.12576923,0,0,1.111951715,NA,NA,NA,NA,0,100-500
28,UFO Dancing,15-08-96,01-08-18,SLOTS,2,0.517671209,Слаб,485.7227915,108.5227915,0,0,0,0,108.5227915,0,0,0.776574636,Yes,NA,NA,NA,0,100-500
29,Surf Queens,20-09-95,01-08-18,SLOTS,1,0.404504981,Слаб,622.0219759,86.22197591,0,0,0,0,86.22197591,0,0,0.861384357,Yes,NA,NA,NA,0,500-1000
30,Yard Crew,03-12-98,01-08-18,SLOTS,1,0.604347826,Слаб,28.40434783,19.90434783,0,0,0,0,19.90434783,0,0,0.299249962,Yes,NA,NA,NA,0,0-100
31,Crocodile Family,08-08-87,01-08-18,SLOTS,1,0.853524562,Среден,265.1070491,70.10704912,0,0,0,0,70.10704912,0,0,0.735551924,NA,NA,NA,NA,0,100-500
32,Clean Academy,17-08-94,01-08-18,SLOTS,6,3.084487326,Хубав,40650.60683,1405.43683,380,400,0,438,967.4368302,0.010774747,0.311646878,0.976201171,Yes,NA,NA,NA,0,20000-100000
33,Amateur Justice,08-05-81,01-08-18,SLOTS,1,0.267184866,Новак,155.4031092,106.8531092,0,0,0,0,106.8531092,0,0,0.312413312,NA,NA,NA,NA,0,100-500
